"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"376",376,"Semnopithecus_schistaceus","(VRIES, KOENIG, and BORRIES, 2016)","(VRIES, KOENIG, and BORRIES, 2016)",NA
"377",377,"Semnopithecus_schistaceus","(VRIES, KOENIG, and BORRIES, 2016)","(VRIES, KOENIG, and BORRIES, 2016)",NA
"378",378,"Mungos_mungo","(Sanderson, Nichols, Marshall, Vitikainen, Thompson, Walker, Cant, and Young, 2015)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"379",379,"Mungos_mungo","(Sanderson, Nichols, Marshall, et al., 2015)","(de
Luca and Ginsberg, 2001)","(Nichols, Jordan, Jamie, et al., 2012)"
"380",380,"Mesocricetus_auratus","(Chelini, Palme, and Otta, 2011)","(Huck, Lisk, and McKay, 1988)","(Pratt and Lisk, 1989)"
"381",381,"Mesocricetus_auratus","(Chelini, Palme, and Otta, 2011)","(Huck, Lisk, and McKay, 1988)","(Pratt and Lisk, 1989)"
"382",382,"Mesocricetus_auratus","(Chelini, Palme, and Otta, 2011)","(Huck, Lisk, and McKay, 1988)","(Pratt and Lisk, 1989)"
"383",383,"Macaca_mulatta","(Liu, Wu, Garber, Zhang, and Li, 2018)","(Deutsch and Lee, 1991)",NA
"384",384,"Macaca_mulatta","(Liu, Wu, Garber, et al., 2018)","(Deutsch and Lee, 1991)",NA
"385",385,"Macaca_mulatta","(Liu, Wu, Garber, et al., 2018)","(Deutsch and Lee, 1991)",NA
"386",386,"Macaca_mulatta","(Liu, Wu, Garber, et al., 2018)","(Deutsch and Lee, 1991)",NA
"387",387,"Ceratotherium_simum","(Metrione and Harder, 2011)","(Metrione, Penfold, and Waring, 2007)","(Metrione and Harder, 2011)"
"388",388,"Cebus_capucinus","(Kalbitzer, Bergstrom, Carnegie, Wikberg, Kawamura, Campos, Jack, and Fedigan, 2017)","(Fedigan and Bergstrom, 2010)",NA
"389",389,"Canis_lupus","(Cafazzo, Bonanni, Valsecchi, and Natoli, 2014)","(Cafazzo, Valsecchi, Bonanni, and Natoli, 2010)",NA
"390",390,"Macaca_nigra","(Kerhoas, Perwitasari-Farajallah, Agil, Widdig, and Engelhardt, 2014)","(Duboscq, Neumann, Agil, Perwitasari-Farajallah, Thierry, and Engelhardt, 2017)",NA
"391",391,"Equus_caballus","(Cameron, Setsaas, and Linklater, 2009)","(Sinderbrand 2011)","(Cameron, Setsaas, and Linklater, 2009)"
"392",392,"Equus_caballus","(Cameron, Setsaas, and Linklater, 2009)","(Sinderbrand 2011)","(Cameron, Setsaas, and Linklater, 2009)"
"393",393,"Odocoileus_virginianus","(Michel, Demarais, Strickland, and Belant, 2015)","(Townsend and Bailey, 1981)",NA
"394",394,"Papio_cynocephalus","(Archie, Tung, Clark, et al., 2014)","(Packer, Collins, Sindimwo, et al., 1995)","(Horn, Buchan, Altmann, et al., 2007)"
"395",395,"Macaca_mulatta","(Ellis, Snyder-Mackler, Ruiz-Lambides, Platt, and Brent, 2019)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"396",396,"Cervus_elaphus","(Ceacero, á, Garc\'\ia, and Gallego, 2018)","(HALL, 2010)","(Ceacero, Landete-Castillejos, Garc\'\ia, Estévez, and Gallego, 2007)"
"397",397,"Cervus_elaphus","(Ceacero, á, Garc\'\ia, et al., 2018)","(HALL, 2010)","(Ceacero, Landete-Castillejos, Garc\'\ia, et al., 2007)"
"398",398,"Cervus_elaphus","(Ceacero, á, Garc\'\ia, et al., 2018)","(HALL, 2010)","(Ceacero, Landete-Castillejos, Garc\'\ia, et al., 2007)"
"399",399,"Cervus_elaphus","(Ceacero, á, Garc\'\ia, et al., 2018)","(HALL, 2010)","(Ceacero, Landete-Castillejos, Garc\'\ia, et al., 2007)"
"400",400,"Bos_taurus","(á, Špinka, and Ceacero, 2017)","(á, Špinka, á, et al., 2013)",NA
"401",401,"Bos_taurus","(á, Špinka, and Ceacero, 2017)","(á, Špinka, á, et al., 2013)",NA
"402",402,"Bos_taurus","(á, Špinka, and Ceacero, 2017)","(á, Špinka, á, et al., 2013)",NA
"403",403,"Bos_taurus","(á, Špinka, and Ceacero, 2017)","(á, Špinka, á, et al., 2013)",NA
"404",404,"Bos_taurus","(á, Špinka, and Ceacero, 2017)","(á, Špinka, á, et al., 2013)",NA
"405",405,"Oryctolagus_cuniculus","(Mykytowycz, 1959)","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)",NA
"406",406,"Oryctolagus_cuniculus","(Mykytowycz, 1959)","(von
Holst, Hutzelmeyer, Kaetzke, et al., 2002)",NA
"407",407,"Heterocephalus_glaber","(Jarvis, 1981)","(Clarke and Faulkes, 1997)",NA
"408",408,"Canis_rufus","(Zimen, 2010)","(Sparkman, Adams, Steury, Waits, and Murray, 2010)",NA
"409",409,"Canis_rufus","(Zimen, 2010)","(Sparkman, Adams, Steury, et al., 2010)",NA
"410",410,"Lycaon_pictus","(Malcolm and Marten, 1982)","(Spiering, Somers, Maldonado, et al., 2009)","(Girman, Mills, Geffen, et al., 1997)"
"411",411,"Lycaon_pictus","(Malcolm and Marten, 1982)","(Spiering, Somers, Maldonado, et al., 2009)","(Girman, Mills, Geffen, et al., 1997)"
"412",412,"Macaca_mulatta","(Anderson and Simpson, 1979)","(Deutsch and Lee, 1991)",NA
"413",413,"Macaca_fuscata","(Sugiyama and Ohsawa, 1982)","(Koyama et al. 2003)",NA
"414",414,"Macaca_fuscata","(Sugiyama and Ohsawa, 1982)","(Koyama et al. 2003)",NA
"415",415,"Macaca_fuscata","(Sugiyama and Ohsawa, 1982)","(Koyama et al. 2003)",NA
"416",416,"Macaca_fuscata","(Sugiyama and Ohsawa, 1982)","(Koyama et al. 2003)",NA
"417",417,"Macaca_mulatta","(Stucki, Dow, and Sade, 1991)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
